Data,Fechamento_Previsto
2025-05-07,28.865294355154035
2025-05-08,28.810073912143704
2025-05-09,28.781553253531452
2025-05-12,28.776533687114714
2025-05-13,28.787111437320707
2025-05-14,28.80516033172607
2025-05-15,28.830239051580428
2025-05-16,28.854443821310994
2025-05-19,28.88012718260288
2025-05-20,28.905447411537168
2025-05-21,28.929789441823957
2025-05-22,28.950965791940686
2025-05-23,28.971066644787786
2025-05-26,28.988455298542974
2025-05-27,29.006182760000225
2025-05-28,29.021604591608046
2025-05-29,29.03410398960113
2025-05-30,29.045765924453733
2025-06-02,29.05629850029945
2025-06-03,29.06232580244541
2025-06-04,29.068089008331295
2025-06-05,29.072467446327206
2025-06-06,29.074540254473686
2025-06-09,29.077224653959274
2025-06-10,29.079638007283208
2025-06-11,29.080696129798888
2025-06-12,29.080571031570432
2025-06-13,29.08049632012844
2025-06-16,29.07945557236671
2025-06-17,29.078970816731452
